 5.45805 3.7045 0.313768
 5.46014 3.76447 0.304498
 5.46223 3.63213 0.325329
 5.46432 3.62156 0.327051
 5.4664 3.8143 0.297006
 5.46847 3.76823 0.303928
 5.47055 3.66041 0.32076
 5.47262 3.65948 0.32091
 5.47468 3.56184 0.336967
 5.47674 3.57963 0.333982
 5.47879 3.5505 0.338883
 5.48084 3.49942 0.347648
 5.48289 3.59115 0.332064
 5.48493 3.44213 0.357751
 5.48697 3.65482 0.321658
 5.489 3.57711 0.334403
 5.49103 3.64448 0.323325
 5.49306 3.68202 0.317315
 5.49508 3.61914 0.327449
 5.4971 3.55515 0.338095
 5.49911 3.52582 0.343089
 5.50112 3.64873 0.322641
 5.50313 3.56798 0.335933
 5.50513 3.52155 0.343822
 5.50713 3.61478 0.328164
 5.50912 3.46838 0.353087
 5.51111 3.46386 0.353884
 5.5131 3.49833 0.347838
 5.51508 3.69647 0.315031
 5.51706 3.54216 0.340298
 5.51903 3.52102 0.343913
 5.521 3.44213 0.357751
 5.52297 3.62446 0.326581
 5.52493 3.54321 0.340121
 5.52689 3.52635 0.342998
 5.52884 3.54373 0.340031
 5.53079 3.51405 0.345116
 5.53274 3.48513 0.350141
 5.53469 3.40683 0.364121
 5.53663 3.45534 0.355397
 5.53856 3.41637 0.362389
 5.54049 3.36339 0.372115
 5.54242 3.41162 0.363252
 5.54435 3.27723 0.388498
 5.54627 3.53165 0.342093
 5.54818 3.33677 0.377102
 5.5501 3.4934 0.348697
 5.55201 3.19115 0.405583
 5.55391 3.41042 0.363467
 5.55582 3.23831 0.396133
 5.55771 3.51405 0.345116
 5.55961 3.53006 0.342363
 5.5615 3.33356 0.37771
 5.56339 3.25029 0.393768
 5.56527 3.2642 0.391038
 5.56715 3.31141 0.381914
 5.56903 3.22906 0.397968
 5.57091 3.34445 0.375657
 5.57278 3.1648 0.410962
 5.57465 3.36526 0.371769
 5.57651 3.3419 0.376137
 5.57837 3.12115 0.420031
 5.58022 3.41756 0.362172
 5.58208 3.40023 0.365323
 5.58393 3.21029 0.401721
 5.58578 3.19041 0.405734
 5.58762 3.18668 0.406492
 5.58946 3.073 0.430266
 5.59129 3.31535 0.381162
 5.59313 3.31272 0.381663
 5.59496 3.37211 0.370499
 5.59678 3.27723 0.388498
 5.5986 3.0994 0.424622
 5.60042 3.13774 0.416561
 5.60224 3.44387 0.357441
 5.60405 3.15945 0.412063
 5.60586 3.17013 0.40987
 5.60767 3.18966 0.405886
 5.60947 3.19115 0.405583
 5.61127 2.99205 0.448038
 5.61307 3.2312 0.397544
